Section,Subsection,Content
WHAT WE BUILT,Overview,We created a smart chatbot that answers questions about company documents using Artificial Intelligence
WHAT WE BUILT,Simple Analogy,Think of it like having a helper robot that reads all company papers and remembers them so whenever you ask a question it can look through documents and give you the answer
HOW IT WORKS,The Chatbot App,It's a program that runs on a computer listens for questions from people and sends back answers
HOW IT WORKS,Smart Reading System,RAG equals Retrieval Augmented Generation. It means: Find information plus Give smart answers. Like when you search for something in a book AND then explain it in your own words
HOW IT WORKS,AI Brain,Uses Azure OpenAI a super-smart AI from Microsoft. It's like having a really smart tutor that understands questions and can write natural answers that make sense
HOW IT WORKS,Security System,Uses JWT Tokens secret passwords. Only lets logged-in users ask questions. Admin can log in with username admin and password admin123
TECHNOLOGY USED,Programming Language,Python - The computer language we used to build everything. Like the language a robot understands
TECHNOLOGY USED,Web Framework,FastAPI - This lets people access the chatbot through the internet. Like the front desk of a building that handles visitors
TECHNOLOGY USED,Storage and Documents,Stored in sample_docs folder with company_policy.txt for company rules and benefits_info.txt for worker benefits
TECHNOLOGY USED,AI Services,Azure OpenAI is the super-smart AI brain. FAISS helps find similar documents quickly like an index in a book
TECHNOLOGY USED,Testing,Pytest helps make sure everything works like a checklist
MAIN ENDPOINTS,Health Endpoint,Checks if chatbot is awake - Ask Are you working
MAIN ENDPOINTS,Welcome Endpoint,Welcome message - Says Hello What can I help
MAIN ENDPOINTS,Info Endpoint,Shows chatbot info - Ask What version are you
MAIN ENDPOINTS,Login Endpoint,Log in with username and password - Username admin and Password admin123
MAIN ENDPOINTS,Chat Endpoint,Ask a question - Example What is the remote work policy
MAIN ENDPOINTS,Evaluate Endpoint,Test how good the AI is - Scores how well it answers
FILE STRUCTURE,Main Code,app folder contains the chatbot code
FILE STRUCTURE,Control Center,app/main.py - The main control center
FILE STRUCTURE,Login System,app/services/auth.py - Handles login
FILE STRUCTURE,AI Connection,app/services/azure_openai.py - Connects to AI brain
FILE STRUCTURE,Smart Reading,app/services/rag_service.py - Smart reading system
FILE STRUCTURE,Website,app/ui/index.html - Website interface for users
FILE STRUCTURE,Documents,data/sample_docs folder - Where company documents are stored
FILE STRUCTURE,Tests,tests folder - test_api.py and test_services.py - Tests to check everything
FILE STRUCTURE,Requirements,requirements.txt - List of tools needed
HOW TO USE STEP 1,Start the Server,Run python -m uvicorn app.main:app --host 127.0.0.1 --port 5000
HOW TO USE STEP 2,Visit Website,Go to http://127.0.0.1:5000/docs
HOW TO USE STEP 3,Log In,Username admin and Password admin123
HOW TO USE STEP 4,Ask Question,Example What is the remote work policy
HOW TO USE STEP 5,Get Answer,The chatbot looks through documents and answers
WHAT THE AI DOES,Reads Documents,Learns what is in company papers
WHAT THE AI DOES,Finds Information,Searches for information related to your question
WHAT THE AI DOES,Thinks About Answer,Uses AI to write a good response
WHAT THE AI DOES,Checks Itself,Makes sure the answer is trustworthy
WHAT THE AI DOES,Sends Answer,Gives you the result
TEST RESULTS,Health Check,PASSED
TEST RESULTS,Login,PASSED
TEST RESULTS,Chat,PASSED
TEST RESULTS,Authentication,PASSED
TEST RESULTS,All 6 Endpoints,Working
TEST RESULTS,Final Result,100 Percent WORKING
REAL WORLD USE,Company Documents,Employee handbooks Policy documents Training materials
REAL WORLD USE,Employee Questions,When do I get vacation days What is the dress code How do I request time off
REAL WORLD USE,Benefit,AI chatbot answers instantly by looking through all documents
SUMMARY,One Sentence Summary,We built a smart robot that reads company documents and answers employee questions using AI
